study,subject_nr,alpha.rew,alpha.pun,beta.rew,beta.pun
disc,215293336,0.10404549487227509,3.9474592978998784,0.7426448108736958,-2.7631846216411073
disc,312143561,0.9108281694858286,-0.8363483913044925,0.770585095972434,0.09850187447682976
disc,490396073,1.6150345990499475,2.6775927302226417,1.0747408407901688,-1.172873235767024
disc,861882109,-1.917764214827854,-1.7135567036454298,0.7701043834434947,0.08729615424413521
disc,861601117,-1.5657481325547276,0.7257938286516462,0.7379254755992978,-1.0709694992380778
disc,807356177,1.5050991673710488,4.20331301942461,0.9233111990503619,-2.385831886791287
disc,822083256,1.0989119793218431,3.4313140738337253,0.5135000319674816,-2.28022443687984
disc,425069262,0.4696429100122289,0.05269021100813924,0.07980466286576772,-0.3123921566666008
disc,239064815,3.0026711731318514,-0.5212185371440508,0.44496588229541373,-0.10756673458526983
disc,254633181,-0.423704363893309,0.917174696039936,2.0554153135482927,0.587896918344846
disc,883974226,-0.13765197770781917,3.7134005748333148,1.8920837052128867,-1.8137334667254204
disc,786575801,-0.02883979536875972,3.997891268264351,1.1882015324019688,-2.5146277107038286
disc,346425035,0.4988079672284309,2.2609050454604565,1.5681568317692465,-0.8729266993492757
disc,486792335,1.7563827159975964,0.9074606616386757,-0.46841289405718195,-0.8393365087109296
disc,666859841,-0.11008975892203968,-1.3227116052355103,0.9481905710056535,0.707147477665497
disc,899705220,2.498703047149914,1.4188180159819606,0.19592070989911,-0.2241654605926956
disc,723502096,-0.6676441800728395,-1.284609976057665,1.8304316981665578,2.5245486760565474
disc,954447410,0.12458150970888024,1.9665161694969095,0.05975738149553658,-1.774412299102602
disc,63210450,-0.604786093580102,2.4576543059113365,-0.08608148697824858,-2.5668511501374343
disc,300894760,-2.987301991899541,-0.37986843544710924,1.033605429089995,0.1458794188883195
disc,464788626,-0.9913300713013827,-1.0732921409042004,1.3646815470437066,1.275024593729603
disc,564059968,-3.108529214297997,-0.8209458657780716,1.276821462194873,-0.4465226760403335
disc,321321432,-0.1879709032855361,1.5117182356044878,1.765639431672581,0.7854098958212051
disc,694411756,0.4764261144625317,2.0415601753529415,0.9311871909347388,-1.1330199030660246
disc,745752836,-1.9046264553119219,2.388912697380996,0.901812025509742,-2.1538335526067884
disc,782083654,1.7838104552053882,1.5167206505997355,0.02735763101352768,0.14565776830146793
disc,598736881,-0.4655431871808121,1.978339097105283,-0.062158556596401196,-2.2718730553401616
disc,11279876,2.8685078961109065,0.6885971123797081,1.2870359988549513,0.24640323048355153
disc,397714659,0.721013501474631,1.9681106585035155,1.478986592670721,-0.18958623461643237
disc,593674503,1.7858613614118115,3.9677503869468413,1.081351438185194,-2.031037416083981
disc,892115828,0.1755198074205684,3.6703972634929283,0.8188903905042358,-2.4864372404647064
disc,96413774,-1.2396422885816303,2.1053506238268618,0.2364095156440172,-2.2133794674764538
disc,85734564,1.3297063445966282,2.7964306344237055,-0.4797271484659162,-2.503540503077225
disc,359233718,-3.395098493170535,-0.31842951248689005,1.6335608994211375,-0.2715774587292536
disc,338681803,-0.1423025811561718,1.5473649495980355,1.501450408985323,-0.6033028283099234
disc,334114857,-2.369665171067187,2.125381429048639,2.8527816943608935,-0.5582580810419479
disc,592673453,-2.8303093465776423,-3.2117250936569315,1.6272073126557693,1.3594062112932963
disc,659120491,-0.37653697419593246,-3.1441324269842217,0.8522533946542986,1.7619304496168422
disc,335572956,-0.41063736237630183,-1.897033076278696,2.234962995920938,2.1251102813152927
disc,577395929,1.0240214397963587,3.385045889372387,1.0814295178208544,-1.8433757629612917
disc,774364152,-3.7193183354468764,-4.033762685005004,1.5686779899828178,2.6114644852784417
disc,788407767,0.5945465481052329,-1.3702332407503917,2.0120731096948665,1.1439655665794637
disc,250635091,-0.7667705857753178,2.781774236491397,1.6088757652445824,-1.5566745920691367
disc,412250889,0.9663165986320699,4.9773327047573,1.6859239792195262,-2.5209944813271035
disc,776337092,-3.7307234070670257,1.7313273199650978,2.042176437235401,-1.494771791771964
disc,826153373,1.192430623657975,1.0346029721156287,0.6316283029124228,-0.054065759179786774
disc,220713700,-0.38248551096916333,2.774395563454773,0.24060477019200946,-2.4784339977007352
disc,379058246,3.36038847579866,5.081081255334408,0.49418979064299984,-2.761209408082654
disc,584005114,2.454139870853558,4.832197632266358,0.002846746800342081,-3.222011191488151
disc,807788550,1.5166650910618016,4.532370406453146,1.4099781027015976,-2.2545005505663624
disc,919168902,-0.9690121532867346,3.3855538883115055,1.8786810167406482,-1.8629995531544146
disc,36993134,-0.13941807320699803,-3.4962524460743793,1.0642559465419976,2.5044951067170875
disc,186824340,-3.943034795277773,1.5962076371998475,1.8299116094314039,-1.6236240725583304
disc,876190565,-1.736040738716378,-1.8509897528789558,0.5522760764364091,0.5481953941754308
disc,77608480,-4.327975380953446,0.607912422190838,0.7662777517874694,-1.5502559127025555
disc,593218431,-3.44052389834724,1.2535578356373658,1.9019775083320494,-1.0499905997119479
disc,370686149,-4.3681021768032124,3.6995431671285894,2.597263307556724,-2.5599402258705592
disc,463139960,0.8908263861998973,-1.547892965212601,0.28197456238058066,0.4621433824533426
disc,897420191,-0.3048695648607049,0.15302798298715584,1.4107702031412022,-0.19913810699434237
disc,529013983,2.4519364954888907,1.1651511059823885,-0.5892556678560928,-0.7402796285722782
disc,203362677,1.9076737544431646,3.358149679293634,1.5265610223744412,-1.2029272491013379
disc,228816759,-2.905823167692439,-0.31323897049023425,0.968542131942796,-0.4929093034279139
disc,238522034,1.2417563281777277,3.02220819212453,1.7404504146601572,-1.0667510992706113
disc,669142164,1.1107156234153364,4.8775054753192855,1.6778350847786616,-2.4134657491716363
disc,251304916,-0.39136092261317773,2.6409001351258534,0.6902464443054737,-2.005733389413637
disc,703575998,0.08555518729989918,2.5617051521001883,0.44058551512883165,-1.9917241406435466
disc,498116978,-4.620504212705704,-0.24801574442511304,1.2600715771418127,-0.5222182774381988
disc,243001819,-4.343191410275642,0.4955103692521998,1.118620782815314,-1.1198329340402904
disc,9489816,1.0902905435225791,2.4544209355154223,-0.32349131461049735,-2.1652232968862384
